Evaluation,Start,Kp,Ki,Kd,Objective,TrackingCost,AmplitudeCost,A_Saturation_pct,SuccessfulCases,FailedCases,Status,Timestamp
170,3,0.023900729115603,5.18223434748343e-06,3.95668895172207e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:26:15
171,3,0.0248092616426027,6.25101573536724e-06,7.63891441947376e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:26:59
172,3,0.0296048320802288,6.67081812055602e-06,1.08327277144139e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:27:44
173,3,0.0331152616533939,5.44103020064858e-06,1.67234856859497e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:28:28
174,3,0.0298007225848119,5.71801794647842e-06,1.06433323499558e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:29:13
175,3,0.0222967629379272,6.30731214974199e-06,4.46624504431278e-08,1876830.96941451,1876830.96924673,0.000167779522997808,4.8780487804878,1,0,valid,2026-08-06 14:29:58
176,3,0.028015862559173,5.86086641521931e-06,8.52553325706609e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:30:42
177,3,0.024356105613878,5.69573056005947e-06,5.47514073576343e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:31:26
178,3,0.0268251883140941,5.887501904887e-06,6.48845997555784e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:32:10
179,3,0.0269295076237269,5.44460042099571e-06,6.43328288057065e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:32:54
180,3,0.0231010549641038,5.72173957563631e-06,4.2030998349156e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:33:37
181,3,0.0259909051743932,5.51280873837692e-06,5.77628476906997e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:34:23
182,3,0.0241286795442135,5.43389565113462e-06,4.64940692981215e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:50:07
183,3,0.0253775599894193,5.52545118847927e-06,5.05466722035397e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 14:50:52
184,3,0.0254309538994062,5.3120553061513e-06,5.03352318313156e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:06:38
185,3,0.0235015577398654,5.44638626788794e-06,4.077874066416e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:07:26
186,3,0.0249526172421852,5.34537422770612e-06,4.7738051752994e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:08:15
187,3,0.0240147679229683,5.30681042166423e-06,4.28791264901428e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:24:03
188,3,0.0246422994284977,5.35153104285366e-06,4.46933601768068e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:31:57
189,3,0.0246692510016122,5.24680672666092e-06,4.46007003892035e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:32:43
190,3,0.0237013206583063,5.31292987725648e-06,4.01678508609282e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:33:28
191,3,0.024428189706295,5.26327222209928e-06,4.3444846971133e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:34:13
192,3,0.0239577641717589,5.24421088065162e-06,4.11868843480004e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:34:58
193,3,0.0242722375803186,5.26631007932868e-06,4.20454661510908e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:35:42
194,3,0.0242857697339648,5.21443631442099e-06,4.20020789436364e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:36:27
195,3,0.0238010705290508,5.24723947284082e-06,3.98661397882309e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:37:12
196,3,0.0241648147335431,5.22262086377815e-06,4.14566919391675e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:37:57
197,3,0.0239292505259626,5.21314500561876e-06,4.03680616172956e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:38:41
198,3,0.024086655787675,5.22412972382076e-06,4.07857403078005e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:39:26
199,3,0.0240934350125011,5.19831431308448e-06,4.07647452895663e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:40:10
200,3,0.0238509113986292,5.21465155875624e-06,3.97162083743012e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:40:55
201,3,0.0240328577258596,5.20239457478998e-06,4.04998217408466e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:41:39
202,3,0.0239149907874916,5.19767030787742e-06,3.99652944122808e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:42:23
203,3,0.0239937345002013,5.20314649629399e-06,4.01712936183093e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:43:08
204,3,0.0239971272796372,5.19026908054114e-06,4.01609663076737e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:43:52
205,3,0.0238758231718492,5.1984216538244e-06,3.96414725407393e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:44:36
206,3,0.023966814489103,5.19230621272745e-06,4.00304030524754e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:45:21
207,3,0.0239078601927414,5.1899474896916e-06,3.9765549790447e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:46:05
208,3,0.0239472421865709,5.19268154742827e-06,3.98678470844478e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:46:49
209,3,0.0239489393529234,5.18625040216708e-06,3.98627254341183e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:47:34
210,3,0.0238882768749876,5.19032268064931e-06,3.96041619482579e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:48:18
211,3,0.0239337770214987,5.18726821916569e-06,3.9797913040371e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:49:03
212,3,0.0239042947144103,5.18608970961275e-06,3.96660844975627e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:49:48
213,3,0.0239239882290203,5.18745573013807e-06,3.97170585245092e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:50:32
214,3,0.0239248370044574,5.18424204693776e-06,3.97145081332103e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:51:16
215,3,0.0238945031784327,5.1862771846676e-06,3.95855209651229e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:52:00
216,3,0.0239172543673312,5.18475076823495e-06,3.96822185764774e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:52:44
217,3,0.0239025119300586,5.18416172636968e-06,3.96164532666126e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:53:28
218,3,0.0239123593147002,5.18484448464348e-06,3.96418967441932e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:54:13
219,3,0.0239127837502462,5.18323811524796e-06,3.96406241486309e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:54:57
220,3,0.0238976161928424,5.18425543380112e-06,3.95762040495881e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:55:42
221,3,0.0239089920654106,5.18349242910495e-06,3.96245084471422e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:56:26
222,3,0.0239016205265928,5.18319796139013e-06,3.95916629627502e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:57:11
223,3,0.0239065443754867,5.1835392775419e-06,3.96043738324246e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:57:55
224,3,0.0239067566051868,5.18273621087618e-06,3.96037381836204e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:58:40
225,3,0.0238991726656839,5.18324480758308e-06,3.95715464855485e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 15:59:25
